PT 등장횟수,관련명사,PT 등장횟수,관련서술어,PT 등장횟수,관련명사,PT 등장횟수,관련서술어,검도 등장횟수,관련명사,검도 등장횟수,관련서술어,기구필라테스 등장횟수,관련명사,기구필라테스 등장횟수,관련서술어,다빈치바디보드 등장횟수,관련명사,다빈치바디보드 등장횟수,관련서술어,드럼스틱 등장횟수,관련명사,드럼스틱 등장횟수,관련서술어,등산 등장횟수,관련명사,등산 등장횟수,관련서술어,라틴댄스 등장횟수,관련명사,라틴댄스 등장횟수,관련서술어,매트필라테스 등장횟수,관련명사,매트필라테스 등장횟수,관련서술어,뮤직복싱 등장횟수,관련명사,뮤직복싱 등장횟수,관련서술어,바차타 등장횟수,관련명사,바차타 등장횟수,관련서술어,발레 등장횟수,관련명사,발레 등장횟수,관련서술어,발레핏 등장횟수,관련명사,발레핏 등장횟수,관련서술어,방송댄스 등장횟수,관련명사,방송댄스 등장횟수,관련서술어,번지댄스 등장횟수,관련명사,번지댄스 등장횟수,관련서술어,번지요가 등장횟수,관련명사,번지요가 등장횟수,관련서술어,번지피트니스 등장횟수,관련명사,번지피트니스 등장횟수,관련서술어,복싱 등장횟수,관련명사,복싱 등장횟수,관련서술어,볼링 등장횟수,관련명사,볼링 등장횟수,관련서술어,빈야사 등장횟수,관련명사,빈야사 등장횟수,관련서술어,사이클 등장횟수,관련명사,사이클 등장횟수,관련서술어,살사 등장횟수,관련명사,살사 등장횟수,관련서술어,서핑 등장횟수,관련명사,서핑 등장횟수,관련서술어,소도구필라테스 등장횟수,관련명사,소도구필라테스 등장횟수,관련서술어,수상스키 등장횟수,관련명사,수상스키 등장횟수,관련서술어,수영 등장횟수,관련명사,수영 등장횟수,관련서술어,스피닝 등장횟수,관련명사,스피닝 등장횟수,관련서술어,아쉬탕가 등장횟수,관련명사,아쉬탕가 등장횟수,관련서술어,아쿠아로빅 등장횟수,관련명사,아쿠아로빅 등장횟수,관련서술어,아쿠아바이크 등장횟수,관련명사,아쿠아바이크 등장횟수,관련서술어,아쿠아테크 등장횟수,관련명사,아쿠아테크 등장횟수,관련서술어,암벽등반 등장횟수,관련명사,암벽등반 등장횟수,관련서술어,에어로빅 등장횟수,관련명사,에어로빅 등장횟수,관련서술어,에이리얼후프 등장횟수,관련명사,에이리얼후프 등장횟수,관련서술어,요가 등장횟수,관련명사,요가 등장횟수,관련서술어,요가쿠아 등장횟수,관련명사,요가쿠아 등장횟수,관련서술어,인요가 등장횟수,관련명사,인요가 등장횟수,관련서술어,자이로토닉 등장횟수,관련명사,자이로토닉 등장횟수,관련서술어,재즈댄스 등장횟수,관련명사,재즈댄스 등장횟수,관련서술어,점핑피트니스 등장횟수,관련명사,점핑피트니스 등장횟수,관련서술어,조깅 등장횟수,관련명사,조깅 등장횟수,관련서술어,주짓수 등장횟수,관련명사,주짓수 등장횟수,관련서술어,줌바 등장횟수,관련명사,줌바 등장횟수,관련서술어,크로스핏 등장횟수,관련명사,크로스핏 등장횟수,관련서술어,키네시스 등장횟수,관련명사,키네시스 등장횟수,관련서술어,타바타 등장횟수,관련명사,타바타 등장횟수,관련서술어,탱고 등장횟수,관련명사,탱고 등장횟수,관련서술어,트램폴린 등장횟수,관련명사,트램폴린 등장횟수,관련서술어,파운드핏 등장횟수,관련명사,파운드핏 등장횟수,관련서술어,패들보드 등장횟수,관련명사,패들보드 등장횟수,관련서술어,패들핏 등장횟수,관련명사,패들핏 등장횟수,관련서술어,펜싱 등장횟수,관련명사,펜싱 등장횟수,관련서술어,폴댄스 등장횟수,관련명사,폴댄스 등장횟수,관련서술어,플라잉 등장횟수,관련명사,플라잉 등장횟수,관련서술어,플라잉요가 등장횟수,관련명사,플라잉요가 등장횟수,관련서술어,플라잉필라테스 등장횟수,관련명사,플라잉필라테스 등장횟수,관련서술어,필라테스 등장횟수,관련명사,필라테스 등장횟수,관련서술어,필록싱 등장횟수,관련명사,필록싱 등장횟수,관련서술어,하타요가 등장횟수,관련명사,하타요가 등장횟수,관련서술어,핫요가 등장횟수,관련명사,핫요가 등장횟수,관련서술어,헬스 등장횟수,관련명사,헬스 등장횟수,관련서술어,힙레 등장횟수,관련명사,힙레 등장횟수,관련서술어
30,장,6,한,30,장,6,한,124,다이어트,19,참,253,여자,34,하지,386,평택,44,깨끗한,110,피아노,23,들,131,시간,19,보니,351,춤,28,멋진,232,점,37,많은,352,풍동,45,편히,252,운동,22,해주세요,169,핏,27,아름다,347,교정,37,드릴게요,247,직장,30,배우기,868,교육,59,좋은,404,강사,37,다양한,390,다이어트,38,감사합니다,230,짐,24,흘리며,154,자세,47,남겨주세요,228,시간,32,하지,188,남자,28,들,239,춤,23,해주세요,156,고성,20,즐거운,298,부산,44,있으니,226,옷,36,하겠습니다,97,나,23,먹고,218,점,34,만들어,273,동요,39,하다,288,요가,23,좋다,39,트레드밀,4,보세요,16,법,3,다양한,137,사진,18,다양한,249,장,27,먹고,13,생활,2,좋은,160,발레,28,한,114,행복,8,마친,296,소마,54,좋아요,281,그룹,28,좋아요,355,아트,57,눌러주세요,259,트램,58,뛰고,128,마스크,29,한,182,팔,18,해서,130,휘트,17,보세요,107,니스,20,들,214,교육,26,감사합니다,356,피닝,26,하겠습니다,126,부산,26,보세요,198,제주,32,좋아하는,246,스캣,29,즐겁게,261,센터,27,엄청난,2,필라테스,1,하시는데도,114,학원,13,오셔서,163,쌤,23,그립,202,울산,33,보세요,178,점,26,하지,211,동안,59,키우고,3,룩스,1,들이,355,아웃,19,걸리면,288,나,46,많은,241,일상,33,즐겁고,120,데일리,19,한,195,힙합,24,가
29,일상,6,하러,29,일상,6,하러,120,도장,19,한,242,개인,33,하며,381,자이로,43,되는,106,악기점,21,보세요,131,캠핑,19,한다,292,클럽,28,좋아요,213,개인,37,다양한,321,맛집,42,놓치지,229,클럽,22,좋은,153,교정,24,아닌,297,전화,35,해보세요,239,다이어트,30,쉽고,731,자격증,54,해보세요,376,댄스,37,되는,389,키즈,36,해서,204,팔,24,검단,151,투,47,끝난,219,나,31,함께요,188,러닝,27,와,237,클럽,20,까사,156,양양,20,크,277,개인,44,않도록,219,남양주,35,먹,95,써니,23,되는,218,장,29,아닌,266,레슨,37,나를,249,팔,23,한,39,아쿠,4,않는,15,강사,3,꾸준히,131,산,16,했는데,222,사람,26,많은,13,에이리얼,2,아니,156,바디,27,보세요,114,감사,8,감사합니다,294,명상,53,될,262,청담,25,즐거운,352,복,53,진정한,257,교육,51,즐겁게,113,남자,28,했는데,177,남자,18,그래,125,여자,17,먹고,101,바디,20,클,194,반려,25,자세한,348,바디,24,즐거운,115,아사도,26,예쁜,179,일상,32,넘,231,그룹,26,새로운,246,패,25,따뜻하게,2,제주도,1,들,112,마스크,13,하자,163,스튜디오,22,미,201,지도자,32,행복한,178,기구,25,받으세요,209,다이어트,59,부드러운,3,점,1,잡으러,311,핏,19,죽는다,243,동요,45,하다,235,여자,33,먹,114,피티,18,건강한,194,바,20,즐겨
28,오늘,6,끝나고,28,오늘,6,끝나고,117,중,18,새로운,217,건강,33,되는,374,다이어트,43,가능한,105,나,20,보니,125,나,18,그려,267,텐션,28,까사,205,시간,35,되는,318,회원,42,흘리며,214,다이어트,20,까사,149,스튜디오,24,매거진,292,스트레칭,33,아름답게,237,팝,28,편하게,637,목동,53,되는,369,마스터,36,많은,352,자격증,36,많은,189,클럽,20,대,149,리그,45,좋,207,플라잉,31,되는,180,다이어트,27,해주고,235,소셜,19,만나요,153,바다,20,되는,271,점,42,산단,216,일상,35,받으세요,94,윤아,21,다양한,211,회원,26,대,239,타요,36,하면,232,다이어트,21,하러,37,라이더,4,살빼기,15,점프,2,그러니,122,체험,15,가볼만,211,발레,25,독하게,11,여행,1,했어용,154,맘,24,하며,107,여행,8,하며,291,가요,52,들,227,교육,23,넘,351,예술,42,감사합니다,243,회원,47,닫히지,110,미세먼지,26,해서,176,벨트,17,끝나고,122,피닝,15,되구요,100,팀,19,즐거운,184,일상,24,팜,322,교정,23,아쉬,114,나,23,다양한,178,개월,31,편안하게,218,필라테스,23,먹고,215,다이빙,24,빌리면,2,워너,1,하시네요,111,유도,13,아니라,159,반,21,클,198,키즈,28,신나는,176,김포,24,했어요,209,워크,59,이룰,3,눈,1,입고,310,바,19,신리,238,탕가,41,해서,223,개,33,배우러,112,소통,17,다양한,171,글로벌,20,했던
28,휘트,5,꾸준히,28,휘트,5,꾸준히,113,초,16,끝나고,215,강사,33,보니,362,피트,41,든든한,103,베이스,19,멋진,112,것,17,않은,251,영어,27,새로운,200,헬스,35,좋아요,306,매탄,36,다양한,213,파티,17,춤추는,141,유아,23,만드는,254,방문,32,참,234,줌,27,있다면,602,다이어트,49,출,368,수업,36,가능한,313,중마동,32,한,187,팀,17,즐겁게,149,램,40,맞,199,가요,31,좋,160,팀,25,빠르게,226,다이어트,19,클,152,서퍼,18,예쁜,262,플라잉,40,빠른,214,제트,32,부이,93,티파니,20,참,202,건강,25,다양한,238,몸,34,보니,200,영장,21,새로운,35,점프,4,건강한,14,수업,2,그렇다면,121,일상,15,보실,208,요가,23,해주세요,10,저장,1,싶은거,153,나,24,챌,102,최지원,8,따뜻한,285,나,51,해주세요,225,창업,22,하지,349,방송,42,하면,243,천안,47,않았다고,108,소통,25,달리는,175,울산,16,하러,120,요가,15,되도록,98,교육,18,하면,179,근육,23,열리는,292,바,22,하지,112,것,23,보니,177,엄마,30,보내시고,194,여자,22,하네요,204,렌탈,24,미치다,2,제주,1,와요,110,석고,12,행복한,157,점,20,크로,198,맘,25,있,176,니스,23,하게,209,그룹,58,올바르게,3,인바디,1,어울려요,290,줌,18,건강한,231,마음,40,해주세요,202,명,32,신나는,107,챌린지,15,들의,150,취미,20,쎄
27,시리즈,5,보세요,27,시리즈,5,보세요,112,아이,15,받으세요,215,상담,31,따,345,토닉,41,친절한,103,핑,18,치는,107,트레,17,갈,235,댄스스포츠,24,센,184,상담,31,할수,305,관장,35,즐거운,209,에버,17,감사합니다,140,중,23,탄,231,시간,32,되는,231,수업,27,하면서,578,탄츠,49,소중해인,347,아메리카,33,하면,295,강사,31,탄,181,트레이닝,17,확실한,142,취미,39,좋은,193,빈,31,시르사,155,일상,25,하면,203,영어,18,즐겁게,145,트립,18,탄,257,재활,40,되는,208,남자,32,달려,93,효연,20,해주세요,192,피트,25,하겠습니다,231,가요,34,다양한,177,상계,20,좋아,34,마곡,4,싸,14,중,2,드세요,119,등산,14,하다,181,필라테스,22,먹지,8,맘속,1,할거야,150,플라잉,24,먹고,100,실장,7,줄거에요,275,탕가,51,깊은,216,스튜디오,21,먹고,346,스토어,40,걸리,241,클럽,47,한다면,106,나,24,뛰기,168,오후,16,단련,118,바디,15,겁니다,96,일상,17,싶으신,176,몸,22,바꿀,282,테라,22,보세요,112,시간,23,참,169,딸,30,바라겠습니다,191,수업,22,건강한,190,서프,23,받으세요,2,아쿠,1,했어요,103,인생,12,받고,153,바디,20,아니라,182,기구,25,가하는,167,시간,22,좋,193,시퀀스,55,합니다내,3,데일리,1,아노,262,니스,18,가,217,지도자,40,있다,199,제주,32,살빼기,105,핏,15,드려요,149,무용,18,신나게
27,기구,5,하겠습니다,27,기구,5,하겠습니다,108,남자,15,어떻게,197,체형,30,하면서,339,트레이닝,40,하자,102,중,18,써,106,정상,17,가,229,파티,23,배워,182,교정,31,하면서,302,점,33,있다,202,영어,15,출,136,다이어트,22,남겨주세요,230,여자,31,많은,227,복,25,춤추는,577,핏,46,원하시는,328,가능,33,하지,284,바,28,새로운,164,광주,17,했는데,140,운동,38,치는,191,플로우,31,하게,145,나,24,없다,196,파티,18,되는,142,일상,17,까,230,전화,39,아니라,196,카페,32,놀러,90,다이어트,19,하다,189,선,25,원하는,228,헬스,33,하게,174,금호,19,즐거운,33,순천,4,타면서,14,아쿠아로,2,책임지는,107,문제,13,많은,180,힙합,22,감사합니다,8,블라디보스톡,1,먹고싶은,146,강사,24,참,100,미소,7,보면,269,타요,49,보세요,215,수업,21,미,305,바,39,많은,231,키즈,47,아프다면,106,홈,24,받으세요,162,부,16,만나,112,센터,15,따라,96,박스,17,집니다,169,니스,21,이어,260,수업,22,살빼기,111,카페,23,되는,168,아이,30,건강하세요,182,강사,21,소소한,176,비치,23,가봤으니깐,2,아패,1,나서,99,상승,11,좋,145,학원,20,얼리,172,호평,24,해서,161,동요,22,행복한,188,서커스,46,들,3,팔,1,예뻐요,254,요가,17,아닌,214,강사,38,나를,193,헬스,30,확실한,102,기구,14,늘리기,149,요가,17,새로운
26,하루,5,받습니다,26,하루,5,받습니다,105,교육,15,좋아,193,몸,28,해보세요,306,수업,37,만들어,101,연주,18,어드럼,105,킹,17,대,212,활동,22,좋은,173,여자,30,따라,284,와코,32,따져,180,텐션,14,만나요,134,요가,22,자세한,223,팔,31,건강한,225,바,25,댄,554,수업,45,들어,327,필라,32,해서,283,번,28,좋,162,키즈,17,재미있게,131,동호회,38,감사합니다,190,개인,31,새로운,137,철인,23,해서,178,공연,18,없을시,134,속초,17,큰,224,진행,39,풍부한,189,여자,30,들,87,수모,19,들,185,요가,24,좋,213,플라잉,33,있다,173,여자,19,하면서,30,재활,4,빠져,13,엠,2,가,96,짐,13,넘,177,전주,21,좋,8,아트,1,고마워용,140,시간,23,했는데,96,플러스,7,는,268,샵,48,새로운,194,자격증,20,해주세요,294,줌,37,좋,224,여자,45,즐거운,105,것,22,있다,162,키즈,16,가,111,무인,15,원하는,92,맛집,17,쓰,156,웰,20,한,257,줌,21,클,109,레슨,22,자세한,153,니스,30,찾아오시는,175,요가,20,화창한,166,투어,23,가능함,2,천,1,하셨다,99,외,11,해주셨습니다,137,웨어,19,좋,165,호평동,24,느껴,156,스튜디오,22,되는,176,토요일,34,많은,3,중,1,끊어,239,피트,16,신나게,210,아사,38,산단,190,중,29,받으세요,101,점,14,하겠습니다,145,데이,17,해주세요
25,트레이닝,4,드리는,25,트레이닝,4,드리는,102,대전,14,희,158,오늘,26,예쁜,293,플라잉,35,보고왔어요,99,카,17,하겠습니다,100,맛집,17,좋아,207,공연,21,자세한,170,오늘,30,보세요,252,동탄,32,아깝지,166,활동,14,미,133,반,21,잡힌,214,입시,31,다양한,206,노래,25,싸,546,핫요가,45,많은,326,과정,30,따라,265,상담,28,되는,157,선수,17,감사합니다,130,소통,37,하겠습니다,189,오늘,26,즐거운,133,소통,23,먹고,171,텐션,17,새로운,128,롱,17,커,222,자세,39,해서,183,레져,29,는,86,오늘,18,넘,179,남자,24,되는,212,교정,30,하면서,172,스포츠,18,가는,30,중,3,빠른,12,리더스,2,않아,95,클라이머,13,눌러,171,부부,20,넘이길,8,러시아,1,돌았음,136,건강,23,따라,94,카카오,6,즐겁게,265,워크,43,돕는,193,바디,20,하시면,288,실용,36,해보세요,222,폴린,43,열린,99,달리기,21,박질,160,관장,15,되는,111,짐,14,들어가게,92,트레이닝,16,해야,152,아치,20,해보세요,250,필라테스,20,깊은,107,왈츠,22,하게,152,점프,28,즐거운,155,서산,20,됐습니다,165,카톡,23,많습니다,2,삼,1,신나게,95,선물,11,편안하게,133,필라테스,18,탄,159,스튜디오,23,되는,153,연휴,21,건강한,173,것,32,감사합니다,3,헬스,1,따,215,티오,16,새로운,206,과정,36,시르사,187,가능,29,따뜻한,98,장,14,입고,143,줌,17,있답니다
24,가능,4,찍어,24,가능,4,찍어,99,나,14,멋진,154,동작,25,않게,251,장,34,해보세요,99,음악,17,새로운,98,오늘,16,벤,204,쌤,20,자유롭게,167,자격증,28,하지,248,팔,32,않으실,163,공연,14,신나게,132,입시,21,않으면,210,자세,30,감사합니다,205,에어로빅,25,함께라면,490,과정,44,는,316,추가,29,좋아요,262,맛집,25,즐겁게,151,맛집,17,찐,129,여자,32,싸,188,다이어트,26,행복한,126,시간,21,받으세요,169,활동,17,먹고,118,사진,17,하면,217,몸,37,하셔서,181,다이빙,28,입니,86,오픈,18,하게,172,센터,24,해야,211,강사,30,참,169,순천,18,끝나고,29,시티,3,다양한,11,삼,2,되는,92,암장,13,새로운,159,쌤,20,챌,8,스터,1,좋겠다,132,수련,22,하면서,93,자유,6,매거진,247,선생,43,빠른,190,요가,19,메디,287,에어로빅,33,싸,221,모집,42,걸리면,95,때,21,들,158,호신술,14,커,101,점,14,들을수있는,91,업,15,많은,148,수성구,20,넘나,246,광주,20,넘,102,동호회,21,감사합니다,144,키카,25,뛰어,144,공연,20,따끈한,163,캠프,22,더워요,2,수영장,1,하셨는데,92,골프,11,재밌는,130,오늘,18,넘나,157,향수,22,니당,153,팔,21,보세요,168,핏,30,해서,3,요가,1,했었죠,201,복싱,16,다양한,202,선생,35,하면,176,체형,28,하면,97,건강,13,하러,120,댄스,17,우아한
24,시간,4,싸,24,시간,4,싸,96,부,13,한다,153,중,24,감사합니다,232,선생,33,흘리고,96,거스,16,만나,92,소통,16,따라,200,소셜,19,한,165,진행,28,드리겠습니다,246,광주,29,오셔서,152,파타야,13,먹고,132,동탄,21,전화하기,202,예약,30,남겨주시면,194,입시,24,받으세요,485,핫,44,들은,314,용산,28,얼리,259,핏,25,아닌,144,일상,16,따져,129,핀,31,입니다텐,187,여자,26,가하는,117,트라이애슬론,21,새로운,152,파타야,17,멋진,115,펜션,17,다양한,215,그룹,36,소중한,158,오,27,올,83,서현,18,한다,170,가능,23,타는,209,마음,30,어떤,168,정보,18,하게,29,엠,3,물안에서,11,생활,2,되었어요,89,부산,12,보고싶은,155,팔,20,따라,7,부산,1,찍어야겠다오,128,데일리,22,꾸준히,93,수중,6,멋지게,245,야사,42,만들어,184,시간,19,다양한,270,여자,31,어렵지,216,제주,41,뛰다,94,건강,20,안전한,144,레슬링,14,해주세요,94,맛집,14,되는거죠,90,피트,15,힘든,143,퍼스널,20,하면,244,양재,19,굳은,102,커플,20,받으세요,144,나,25,놀고,140,바디,20,머물게,162,보딩,22,배우러,2,캠핑,1,마셨답니다,92,액자,11,해서,126,가능,18,해주세요,155,나,22,다양한,148,댄스,21,끝나고,166,주세요,28,아쉬,3,티,1,하겠다고,187,수업,16,만들어,197,오창,34,뜨리,168,매트,26,됩니다운,96,맛집,13,가,117,티켓,16,놀고
22,요가,4,있어서,22,요가,4,있어서,96,여자,13,먹고,152,시간,24,하시고,228,소도구,31,하겠습니다,92,선,16,만들어,91,다이어트,16,하며,195,강남,19,하셔서,162,몸,28,하면,242,진해,28,강하고,147,쌤,13,참,129,발레리나,21,누르시면,201,수강,30,해서,185,걸스,24,싶다면,483,지도자,43,배워,311,국제,28,맞춰,253,헬스,24,피지오의,141,부천,16,아깝지,123,러키,28,탄,184,과정,24,자세한,117,대회,20,넘,141,쌤,17,출,113,맛집,16,그려,215,동작,36,주셔서,154,고객,27,크서,82,시간,18,즐겁게,166,시간,23,하러,197,피티,28,해주세요,166,개인,18,건강한,26,다이어트,3,작은,11,빅,2,터지는,86,나,12,걷고싶은,153,휘트,20,될,7,날,1,봐서,128,가능,21,나를,93,뚝섬,5,아름다운,238,개인,42,다양한,183,아치,19,한,240,현대,31,자세한,196,점,41,해보세요,91,조,20,뛸,144,중,13,크,94,광주,14,기대하셔도,90,장,15,할수있는,126,청담,18,따,233,동탄,19,달려온,101,학원,20,자유롭게,143,마인드,24,좋아,134,헬스,20,넘,162,하우스,21,해서,2,점프,1,빠지려고,89,취미,11,즐거운,119,광주,18,할수,154,피지,21,따라,148,가능,21,건강하게,163,오늘,27,되는,3,아디,1,드렸었습니다,179,바디,15,센,195,운동,34,될,167,강사,26,나오시면,96,오늘,13,하지,117,육아,15,먹고
21,홈,4,아닌,21,홈,4,아닌,94,수련,13,즐겁게,143,니스,24,들이,227,회원,31,시키는,90,타악기,15,했는데,90,내,15,되는,188,바,19,보세요,160,중,27,하게,231,센터,28,날씬해지려면,146,키,13,멋진,127,스트레칭,20,는,190,댄스,30,받으세요,181,영상,24,어떨까,477,발레,42,잼나게,306,용산구,27,만나,239,대구,23,다양한,140,핏,16,않으실,121,거,28,해서,177,소마,24,해서,114,오늘,20,클,139,바,15,한,110,해변,15,하며,213,여자,35,있나요,153,판매,26,살자,81,남자,16,예쁘다,163,중,23,자세한,195,오늘,28,하며,165,대학교,17,했던,25,자전거,3,하러,10,속,2,필요한,78,마곡,12,큰건,151,저녁,20,하면,6,인생,1,신기하고,125,오늘,21,되는,91,배럴,5,내쉬,230,시작,42,어떤,175,강서구,19,싫을,239,시청,30,않아요,192,만,41,죽는다,90,시간,20,넘,135,일상,13,멋짐,93,회원,14,필요하신,88,코치,15,되는,126,메스타,18,빌리지자,231,맛집,19,함께가요,101,한글,18,하지,143,하루,24,큰,133,제천,19,해서,161,교육,21,다양한,2,바이크,1,탄듯,87,강남,10,어떻게,117,팔,18,많은,152,몸,21,자세한건,147,해먹,20,즐거운,162,내,24,하며,3,구매,1,하던,178,제천,15,행복한,191,헬스,33,않는,167,수업,26,살뺄거아이가,94,회원,13,마세요,117,필라테스,14,만나
21,바디,4,하게,21,바디,4,하게,91,일상,13,하지,140,센터,24,하러,223,트램,30,새로운,90,일상,15,좋아하는,89,블랙,15,나도,176,부산,19,즐거운,151,핏,25,새로운,228,식사동,28,껴라,137,좀바,13,즐겁게,121,가방,20,좋,176,몸,29,아름다운,172,데프,24,배우고싶은,466,국제,42,해봐요,302,제공,26,하러,226,기구,22,쓰,128,크로스,16,겁니다대,119,게임,26,들,169,마음,23,하면,107,여행,20,하게,138,정모,15,먹,103,제주,15,있어,198,맘,35,기다리지,147,수제,26,시키고,80,트레이닝,16,보니,160,오늘,23,즐겁게,193,스튜디오,27,빈야사,164,동서대,17,미,24,요가,3,빌리지,10,재활,2,신나는,78,갤러리,12,아니겠지,143,집,19,새로운,6,샷,1,즐거웠어요,121,피트,20,좋,89,수영,5,썬,226,내,41,만나요,174,니스,18,크,228,공연,30,춤추는,190,공연,40,하지,90,훈련,20,좋,133,복싱,13,대,91,시간,14,다가가세요,85,체험,15,재미있는,123,헬스,17,빌리지,228,니스,19,해가든,98,댄스스포츠,18,미,138,바운스,24,신나는,128,호텔,18,맞춰,159,겨울,20,험,2,처음,1,하셨습니다,86,서울,10,한,115,접수,18,챌,151,평내,21,빈야사,140,몸,19,넘,153,지구,21,좋아요,3,진행,1,했었던,168,점핑,15,할만,185,가요,32,즐거운,167,방배역,25,예뻐지는,91,중,12,보세요,112,파티,14,모여
21,개인,4,좋,21,개인,4,좋,91,짓,13,신은,135,이벤트,24,꾸준히,215,스포츠,30,선보입니다,90,밴드,15,하면,85,때,15,가고,155,파타야,19,파소,150,지도자,24,아니라,227,보정동,28,지매,130,방콕,13,넘나,116,오,20,해서,169,복,29,예쁘게,159,발레,24,해보세용,454,마스터,42,탄,294,키즈,26,감사합니다,223,교정,22,해주세요,127,중,16,해서,119,남자,23,많은,164,그룹,23,와,107,헬스,20,해준,132,방콕,14,갈,101,영상,15,와,190,오늘,35,받으세요,145,가평,26,감사합니다,79,짐,16,따뜻한,160,맛집,22,해용,191,야사,26,받으세요,163,개금,17,보니,23,하이드로,3,새로운,10,진행,2,하러,76,소니,12,사길,130,개월,19,먹,6,오,1,뜨겁게,117,거,20,해야,80,유원지,5,빠질,221,우리,41,해야,173,그래비티,18,하며,211,점,29,시키는,188,중,40,넘,89,번,19,한다,127,유도,13,합시다,81,팔,14,진정한가치,84,피티,15,했는데,122,여자,15,새로운,227,트레이닝,19,즐겁게,97,댄서,18,아니라,138,시간,22,즐겁게,125,프로,18,좋아요,154,가능,20,운사,2,복이,1,빡심,81,형재,10,있으신,112,오픈,17,팜,150,강사,20,하시고,137,지도자,19,했는데,143,여자,21,행복한,3,제작,1,되었구요,158,그룹,15,즐거운,183,피티,31,받으세요,165,탕가,23,한,91,트레이닝,12,감사합니다,111,일상,13,귀여운
21,군산,4,좋아,21,군산,4,좋아,91,학원,12,소소한,133,자세,23,들을,212,교육,29,가리,88,혼,14,있어서,79,제주,15,될,155,초급,19,즐기는,150,과정,24,즐거운,223,지도,28,가져가실,126,모임,13,크,115,레슨,20,되는,168,관리,29,드려요,152,아트,24,얻어가는,451,여자,41,가능한,294,용인,25,가능합니다가,220,탄츠,21,그램데,122,상담,16,미,113,영상,22,크,154,지도자,23,한다,102,샵,20,커,128,키,14,와,101,겨울,14,편안한,185,센터,34,달라집니다,135,서프,25,할것,77,것,16,어떻게,158,바디,22,추운,181,아사,26,건강한,160,경남,16,가서,23,협회,3,하면서,10,이채,2,해주셔서,76,이미지,12,한다,129,트레이닝,18,나를,6,모델,1,추운거였어요,115,가방,19,하지,77,일상,5,멋진,220,대요,40,보는,172,화곡,17,함께하세요,200,전문가,29,들,176,이프,39,감사합니다,88,중,18,참,123,고릴라,13,도르,80,영상,14,들의,84,가능,15,아닌,119,국제,15,먹고,223,홈,17,하게,92,번,18,될,131,우리,22,푸,123,센터,18,들과,153,바다,20,먹고,2,아빠,1,즐기시는,81,대회,10,할수있도록,111,사진,17,새로운,142,용인,20,좋기,131,회원,18,참,142,컨트롤,20,하면,3,단가,1,해주는,154,쌤,15,하게,177,교정,31,꾸준히,161,야사,23,해주세요,89,프로필,12,되는,105,한국,13,만나요
21,사람,4,따,21,사람,4,따,89,맘,12,있고,133,진행,23,보내셨나요,210,양산,29,만나요,86,바이올린,14,배우기,77,하이킹,15,가는,146,반,17,하면,149,재활,24,될,217,울산,28,힘든,119,커플,13,클,114,후,20,느껴,162,현대,29,즐거운,148,일상,24,머물렀던,443,플,40,어떤,290,테스,24,마세요,212,여자,21,행복하기,122,스파링,13,보면,107,볼링공,22,미치다,148,테라,22,같아요,101,훈련,19,크,123,좀바,14,하지,98,스키,14,해서,184,예약,34,들에게,132,캠프,25,하길,74,거,15,새롭게,147,소통,22,놓치지,170,오창,25,즐거운,160,냉정,16,즐겁게,23,피닝,3,신나는,10,핏,2,해야,75,에이스,12,타는,126,수업,18,해야,6,스냅샷,1,벨리,110,것,19,하게,77,강사,5,놀러,214,레슨,39,하면,171,피트,17,커,191,아이돌,28,필요한,175,벌라,39,센,87,런,18,쉬운,116,떼,12,새로운,78,봉선동,14,오테,82,필라테스,15,할수,116,견,14,만들어,218,크로스,16,좋습니다,89,바,18,하며,129,증산,21,가서,123,프레지던트,16,함께라서,142,필리핀,20,한,2,본색,1,많아,80,이종,10,갑니다,107,몸,16,되는,140,소통,20,앉아있는,130,바디,18,해주세요,138,강사,19,가서나,3,판매,1,하려,154,여자,14,해서,167,하타,31,깊은,161,바디,23,아름다운,88,웨이트,12,알려,101,클래스,12,즐길
