PT명사개수,PT관련명사,PT서술어개수,PT관련서술어,검도명사개수,검도관련명사,검도서술어개수,검도관련서술어,기구필라테스명사개수,기구필라테스관련명사,기구필라테스서술어개수,기구필라테스관련서술어,다빈치바디보드명사개수,다빈치바디보드관련명사,다빈치바디보드서술어개수,다빈치바디보드관련서술어,등산명사개수,등산관련명사,등산서술어개수,등산관련서술어,라틴댄스명사개수,라틴댄스관련명사,라틴댄스서술어개수,라틴댄스관련서술어,매트필라테스명사개수,매트필라테스관련명사,매트필라테스서술어개수,매트필라테스관련서술어,뮤직복싱명사개수,뮤직복싱관련명사,뮤직복싱서술어개수,뮤직복싱관련서술어,바차타명사개수,바차타관련명사,바차타서술어개수,바차타관련서술어,발레명사개수,발레관련명사,발레서술어개수,발레관련서술어,발레핏명사개수,발레핏관련명사,발레핏서술어개수,발레핏관련서술어,방송댄스명사개수,방송댄스관련명사,방송댄스서술어개수,방송댄스관련서술어,번지댄스명사개수,번지댄스관련명사,번지댄스서술어개수,번지댄스관련서술어,번지요가명사개수,번지요가관련명사,번지요가서술어개수,번지요가관련서술어,번지피트니스명사개수,번지피트니스관련명사,번지피트니스서술어개수,번지피트니스관련서술어,복싱명사개수,복싱관련명사,복싱서술어개수,복싱관련서술어,볼링명사개수,볼링관련명사,볼링서술어개수,볼링관련서술어,빈야사명사개수,빈야사관련명사,빈야사서술어개수,빈야사관련서술어,사이클명사개수,사이클관련명사,사이클서술어개수,사이클관련서술어,살사명사개수,살사관련명사,살사서술어개수,살사관련서술어,서핑명사개수,서핑관련명사,서핑서술어개수,서핑관련서술어,소도구필라테스명사개수,소도구필라테스관련명사,소도구필라테스서술어개수,소도구필라테스관련서술어,수상스키명사개수,수상스키관련명사,수상스키서술어개수,수상스키관련서술어,수영명사개수,수영관련명사,수영서술어개수,수영관련서술어,스피닝명사개수,스피닝관련명사,스피닝서술어개수,스피닝관련서술어,아쉬탕가명사개수,아쉬탕가관련명사,아쉬탕가서술어개수,아쉬탕가관련서술어,아쿠아로빅명사개수,아쿠아로빅관련명사,아쿠아로빅서술어개수,아쿠아로빅관련서술어,아쿠아바이크명사개수,아쿠아바이크관련명사,아쿠아바이크서술어개수,아쿠아바이크관련서술어,아쿠아테크명사개수,아쿠아테크관련명사,아쿠아테크서술어개수,아쿠아테크관련서술어,암벽등반명사개수,암벽등반관련명사,암벽등반서술어개수,암벽등반관련서술어,에어로빅명사개수,에어로빅관련명사,에어로빅서술어개수,에어로빅관련서술어,에이리얼후프명사개수,에이리얼후프관련명사,에이리얼후프서술어개수,에이리얼후프관련서술어,요가명사개수,요가관련명사,요가서술어개수,요가관련서술어,요가쿠아명사개수,요가쿠아관련명사,요가쿠아서술어개수,요가쿠아관련서술어,인요가명사개수,인요가관련명사,인요가서술어개수,인요가관련서술어,자이로토닉명사개수,자이로토닉관련명사,자이로토닉서술어개수,자이로토닉관련서술어,재즈댄스명사개수,재즈댄스관련명사,재즈댄스서술어개수,재즈댄스관련서술어,점핑피트니스명사개수,점핑피트니스관련명사,점핑피트니스서술어개수,점핑피트니스관련서술어,조깅명사개수,조깅관련명사,조깅서술어개수,조깅관련서술어,주짓수명사개수,주짓수관련명사,주짓수서술어개수,주짓수관련서술어,줌바명사개수,줌바관련명사,줌바서술어개수,줌바관련서술어,크로스핏명사개수,크로스핏관련명사,크로스핏서술어개수,크로스핏관련서술어,키네시스명사개수,키네시스관련명사,키네시스서술어개수,키네시스관련서술어,타바타명사개수,타바타관련명사,타바타서술어개수,타바타관련서술어,탱고명사개수,탱고관련명사,탱고서술어개수,탱고관련서술어,트램폴린명사개수,트램폴린관련명사,트램폴린서술어개수,트램폴린관련서술어,파운드핏명사개수,파운드핏관련명사,파운드핏서술어개수,파운드핏관련서술어,패들보드명사개수,패들보드관련명사,패들보드서술어개수,패들보드관련서술어,패들핏명사개수,패들핏관련명사,패들핏서술어개수,패들핏관련서술어,펜싱명사개수,펜싱관련명사,펜싱서술어개수,펜싱관련서술어,폴댄스명사개수,폴댄스관련명사,폴댄스서술어개수,폴댄스관련서술어,플라잉명사개수,플라잉관련명사,플라잉서술어개수,플라잉관련서술어,플라잉요가명사개수,플라잉요가관련명사,플라잉요가서술어개수,플라잉요가관련서술어,플라잉필라테스명사개수,플라잉필라테스관련명사,플라잉필라테스서술어개수,플라잉필라테스관련서술어,필라테스명사개수,필라테스관련명사,필라테스서술어개수,필라테스관련서술어,필록싱명사개수,필록싱관련명사,필록싱서술어개수,필록싱관련서술어,하타요가명사개수,하타요가관련명사,하타요가서술어개수,하타요가관련서술어,핫요가명사개수,핫요가관련명사,핫요가서술어개수,핫요가관련서술어,헬스명사개수,헬스관련명사,헬스서술어개수,헬스관련서술어,힙레명사개수,힙레관련명사,힙레서술어개수,힙레관련서술어
164,헬스,13,많은,2051,검도,75,좋아요,4581,필라테스,107,들,2875,필라테스,113,다양한,1029,등산,70,좋아요,3275,살사,108,배우기,4612,필라테스,94,들,7851,복싱,148,죽전,3096,살사,99,배우기,3484,발레,72,좋아요,4864,발레,105,좋아요,538,반,91,와와,9140,번지,287,피지오,5139,번지,108,피지오,4697,번지,298,피지오,4275,복싱,61,좋아요,3208,볼링,365,볼러,488,필라테스,349,아쉬,1026,사이클,127,타는,3195,살사,90,배우기,2396,서핑,57,배우기,5112,필라테스,391,메디,1206,수상스키,277,빠지,1339,수영,58,좋아요,1042,헬스,159,좋아요,765,수련,1204,아쉬,1435,아쿠아로,104,좋아요,607,아쿠아,10,좋은,141,아쿠아,7,건강한,700,암벽등반,1328,클라,1594,에어로빅,96,하러,142,후프,12,잼있다,592,필라테스,95,좋아요,310,보드,487,썹,1366,인요,385,아쉬,3594,필라테스,1141,자이로,1444,재즈,121,나를,5745,점핑,249,허,976,조깅,61,좋아요,3256,짓,73,좋아요,1059,바,52,좋아요,2006,핏,49,좋아요,1389,키네시스,147,자이로,1438,다이어트,75,필록,2344,탱고,71,좋은,438,맘,77,신나게,1127,핏,310,필록,1842,보드,131,썹,14,핏,6,썹,2603,펜싱,66,좋은,3744,폴,73,좋아요,2579,플라잉,109,하시,1835,플라잉,98,좋아요,1905,플라잉,171,다양한,19,필라테스,3,하게,2636,록,1609,필록,752,수련,327,아쉬,1209,핫요가,238,좋아요,953,헬스,110,좋아요,747,힙,76,열리는
102,다이어트,13,좋아요,522,검,68,좋은,1103,기구,89,좋은,1287,보드,101,감사합니다,398,산,65,좋은,1910,바차타,70,해주세요,770,매트,64,좋은,2204,다이어트,121,검단,2386,바차타,84,따,614,무용,65,감사합니다,1394,필라테스,102,예쁜,489,취미,85,챌,1879,플라이,281,빈야사,1491,플라이,95,아쉬,1723,필라테스,183,지피지오,1175,다이어트,41,배울수,599,볼링장,274,좋아요,472,수련,185,빈야사,1005,자전거,74,가,1964,바차타,79,따,490,보드,53,좋아요,755,소도구,88,다양한,612,웨이크,228,크,187,수영복,42,가,521,다이어트,81,들,587,필라테스,104,따뜻한,1387,빅,103,하면,395,바이크,7,나를,57,바이크,5,사는,451,볼더링,588,클,852,다이어트,71,좋아요,131,이리얼,8,날라,349,헬스,91,좋은,206,오션,105,많은,624,수련,138,좋은,2248,토닉,94,새로운,1155,폴,117,싶다면,1071,다이어트,104,들,529,러닝,52,가,2607,주,50,좋은,820,줌,49,들,1912,크로스,37,좋은,775,필라테스,86,좋아요,1210,타바타,64,건강한,287,아르헨티나,69,배우기,435,점핑,67,좋은,699,바,68,아름다운,1052,서핑,73,친절한,10,서핑,4,감사합니다,230,레슨,57,좋아요,244,프로필,44,좋은,1083,필라테스,100,크,1274,필라테스,96,들,1774,필라테스,153,배워,6,다이어트,2,좋아요,2463,싱,63,좋은,528,백석,98,따뜻한,1073,필라테스,202,아쉬,336,다이어트,107,챌,710,발레,46,자세한
83,필라테스,12,들,451,도관,49,즐거운,454,다이어트,74,좋아요,1262,다빈치,96,아름다,227,산행,58,커,859,동호회,68,보니,400,레슨,60,크,1487,뮤직,117,들,865,동호회,80,보니,414,취미,58,다양한,1234,핏,96,해주세요,397,힙합,85,다양한,1343,필라테스,261,지피지오,1242,필라테스,88,미,1235,오,90,들,473,체육관,39,들,413,팔,144,있을,356,레슨,87,좋은,527,로드,69,좋아요,804,동호회,76,보니,381,발리,47,좋은,416,레슨,82,들,595,스키,94,좋아요,166,팔,35,해서,499,팔,64,하면,581,백석,79,좋은,940,수영,81,빌리,100,수중,6,타는,43,테크,5,먹는,410,암벽,41,좋아요,681,헬스,57,눌러주세요,27,폴,7,어지럽다,298,다이어트,66,아쉬,170,한강,20,웃자,493,것,116,한,487,키네시스,60,좋은,1075,무용,78,다양한,686,점프,97,싶다면,424,다이어트,48,뛰,414,팀,35,즐겁게,560,헬스,31,챌,489,헬스,35,해서,497,메이플,66,좋은,835,복싱,60,들,248,땅,64,들,336,육아,44,먹고,569,록,66,좋은,463,제주,66,좋아,6,보드,3,좋은,152,스킬,53,배우기,224,다이어트,39,예쁜,355,번지,80,미,319,헬스,66,좋은,467,해먹,85,새로운,6,후드,2,들께,1042,필,45,들,438,필라테스,71,좋은,630,다이어트,73,다양한,270,팔,54,좋은,464,포레스티,42,이어
53,짐,9,해서,232,동검,45,감사합니다,349,레슨,68,많은,561,퀸,95,치를,194,겨울,35,미치다,575,취미,66,해보아요,330,기구,52,해서,947,짐,92,남은,543,취미,52,센,340,필라테스,57,보세요,478,취미,81,아름다,358,무용,80,좋아요,1003,오,192,짜는,927,플라잉,72,좋은,489,스튜디오,74,드리겠습니다,470,킥복싱,33,많은,343,티셔츠,75,털어치기,248,몸,56,들,495,딩,53,출,523,취미,45,좋아요,262,송정,40,따,389,메디,72,많은,573,보드,77,좋은,151,수영장,28,하면,355,짐,60,먹고,349,맘,68,한,674,헬스,67,들,60,나,6,하며,40,수중,5,아는,363,실내,39,챌,628,바,51,좋은,27,취미,4,미,201,샵,49,두고,153,패,13,좋은,409,몸,105,함께요,449,교정,48,많은,816,취미,70,꿈꾸는,359,시분,97,빼고,355,마라톤,48,좋은,384,다이어트,30,하면,232,다이어트,28,좋은,414,다이어트,32,크,383,사료,60,건강한,599,헬스,50,한,185,밀롱가,55,많은,276,헬스,43,들,568,줌,51,들,463,리조트,50,유일하게,6,아쿠아,2,웃으,144,대표,35,주는,220,대회,38,들,293,다이어트,73,좋은,297,다이어트,49,다양한,273,샵,85,어떻게,6,수익금,1,달라진,724,믹스,34,넘,359,맘,64,감사합니다,458,플라잉,69,소소한,263,필라테스,53,좋,452,벌,40,바꿀
39,피티,9,좋은,195,학교,39,검단,298,헬스,63,건강한,548,헬스,95,담다,193,백,25,좋,394,방콕,63,즐겁게,265,소도구,51,해주세요,871,킥복싱,82,하면,316,강습,47,들,214,복,43,들,442,무용,68,만드는,340,커버,56,걸리,963,플라잉,155,가더,524,산요,49,한,487,플라잉,70,어려울,323,권투,32,좋,265,프로,68,하면,235,힐링,56,좋아요,383,바이크,52,준다,307,강습,37,들,244,강습,34,꾸,385,기구,69,건강한,443,서핑,65,그램데,132,태연,28,했는데,325,필라테스,58,좋은,305,것,63,들,577,할인,59,좋은,57,수영,6,들,36,수영,5,좋은,344,등,39,져,603,복,48,갑니다,19,플라잉,4,하겠습니다,192,팔,45,들,129,힐링,13,되는,322,필라테스,93,많은,397,재활,47,들,674,발레,67,우아한,322,파티,94,싶지만,221,아침,46,헐,316,본주,27,노기,231,필라테스,28,감사합니다,172,역도,30,섹시한,375,토닉,40,움직이는,528,핏,46,다양한,179,취미,42,푸,263,다이어트,43,좋아요,554,싱,50,된다,410,제주도,46,즐길수,3,패,1,하지요,132,국가,29,감사합니다,216,취미,36,넘,220,헬스,67,들,207,번지,48,감사합니다,229,레슨,82,낮은,5,구미,1,들고,668,필라테스,28,감사합니다,351,것,62,되는,401,아메리카,58,들,162,짐,47,하면,420,꼬끄,38,되는
35,팔,8,몰,180,팔,38,많은,281,점,52,해서,537,고투,94,더하다,172,눈,25,해서,365,강습,57,따,234,다이어트,47,하며,480,정통,79,좋은,307,강남,38,좋아요,193,팔,43,빠른,416,레슨,68,전화하기,322,춤,42,많은,637,목동,145,아쉬,459,삼각지,45,들,419,플라이,63,남겨주시면,260,울산,32,하면,221,티,64,해주세요,230,것,45,많은,338,라이,51,만나,300,쿠바,34,센,228,파도,30,한,371,다이어트,60,높은,383,수상,64,멋져요,120,소녀,27,입고,218,점,55,해서,282,나,60,많은,482,주민,58,해서,48,수영장,6,신나게,34,수영장,4,보니,269,라임,24,해서,579,줌,37,쥔,16,스카이,4,성공해야,178,백,42,다양한,121,수영장,12,즐길,296,소마,91,하며,350,레슨,44,보세요,501,반,66,자라면,321,슈즈,88,신나는,208,런닝,41,먹고,289,동주,26,감사합니다,148,장,27,죽전,165,복싱,29,챌,338,팀,40,들,486,구미,46,하면,161,춤,38,즐거운,242,아기,42,가볼만,311,우지인,39,즐거운,404,스쿠버,39,편안한,2,패들링,1,보내고,128,체육,28,하면,209,연맹,33,나를,202,울산,59,좋아요,195,레슨,46,아쉬,225,몸,78,배우고,4,시즌,1,찾아올게요,627,다이어트,27,좋아요,331,개인,57,하지,391,증가,58,보내,124,식단,46,들,405,르,37,다양한
35,식단,8,하면,174,초등,34,좋,272,교정,49,크,472,화명동,86,좋은,170,패킹,24,좋다,354,다이어트,54,꾸준히,232,점,47,않도록,477,헬스,76,하러,280,춤,38,미치리,169,핏,42,아름다운,366,스튜디오,68,누르시면,288,오디션,41,와,602,다이어트,143,희,451,다이어트,45,알려,390,다이어트,62,센,257,주,31,다양한,220,키,57,알려,219,나,44,한,246,덕,47,보실,276,강남,34,좋은,176,캠프,29,감사합니다,328,교정,59,좋은,372,펜션,64,이뻐요,119,시대,27,좋,218,장,53,먹,279,개인,56,하지,420,스포츠센터,57,썬,43,물,4,쉽게,27,물,4,들,140,취미,21,따뜻한,333,신혼,37,즐거운,16,촬영,4,행복해야,164,몸,41,건강한,119,필라테스,11,돼,294,명상,90,따뜻한,307,트레이닝,43,건강한,494,직장,66,우아하다,269,머신,80,좋은,175,팔,38,좋다,274,킥복싱,25,좋,134,핏,21,좋습니다,147,짐,28,싶은,322,닥터,36,크,462,짐,42,좋은,134,남미,37,한,233,아들,41,해서,272,다이어트,35,신나게,354,샵,39,입고,2,필라테스,1,잊지,128,집사부,23,하는인의,163,쌤,32,감사합니다,198,맘,52,만나는,188,개인,40,해서,211,동안,78,먹은,4,사업,1,재밌어,607,경기,26,되는,303,레슨,55,들,366,팔,56,드리고,114,피티,39,많은,369,시티,36,한
35,트레이너,8,깨우기,172,대한검도회,29,검도단,242,개인,45,다양한,395,핏,72,자이로,164,팔,24,한,351,춤,49,맞춰서,213,개인,46,건강한,410,중,66,신나는,262,소셜,33,좋아하고,153,교정,41,좋은,354,다이어트,66,자세한,287,팔,39,들,578,탄츠,94,미,369,마스터,42,새로운,313,중마동,61,짜는,237,짓,28,좋은,210,볼러,51,본,207,플라잉,44,감사합니다,223,수영,37,디져,239,춤,31,많은,167,샵,27,미치다,277,개인,58,따라,297,팔,63,져,106,점,26,한,189,선,46,많은,266,레슨,49,되는,407,학생,45,감사합니다,42,밸리,4,않아요,26,밸리,3,챙겨,139,울산,20,좋은,249,장,35,들,16,프로필,3,해서,160,발레,39,젊,119,서핑,11,해서,291,가요,80,감사합니다,293,센터,42,자세한,390,힙합,65,할수있습니다,268,반,78,새로운,149,식단,37,뜀,236,격투기,23,클,112,센터,21,건강한,131,팔,23,한다,317,샵,35,해서,322,교정,40,많은,129,부에노스아이레스,36,멋진,212,집,40,많은,258,필,33,신나고,288,세부,36,커,2,제주도,1,않으시는,119,팔,18,되는,163,스튜디오,31,필리,182,기구,48,피지오,178,점,33,많은,209,다이어트,76,봤다,3,룩스,1,좋아,545,바레,25,먹고,299,몸,55,하게,353,안양,48,좋은,107,챌린지,34,크,334,핏,28,와
30,장,8,크,135,체육,27,하면,197,체형,45,해주세요,386,평택,66,많은,153,등,22,하면,267,텐션,44,들,200,헬스,46,아쉬,352,풍동,62,멋짐,214,다이어트,26,댄,149,스튜디오,39,많은,347,교정,61,들,247,직장,38,먹,577,핏,71,드세요,347,아메리카,42,해보세요,284,바,54,미,232,격투기,27,아니야,204,링스타,49,커,199,가요,43,해주세요,223,인종,35,좋은,235,소셜,31,감사합니다,156,고성,26,팜,271,점,58,아쉬,271,키,62,그램오오,97,나,26,좋은,172,센터,45,필리,238,몸,48,감사합니다,403,수영장,37,많은,41,레포츠,4,즐기는,25,레포츠,3,해주세요,131,산,20,하면,211,발레,31,춤추는,13,내,3,연결하는게,154,맘,36,해왔습니다,102,최지원,10,들,285,나,74,되는,287,기구,42,감사합니다,380,춤,60,갑니다,243,천안,74,없음,142,러너,37,먹,221,도복,22,들,111,무인,20,하겠습니다,109,점,22,한,257,스토리,34,넘,292,바,34,되는,127,음악,30,해서,198,제주,38,트니,246,스캣,33,되는,283,보라카이,35,가볼만,2,워너,1,나눠주셔서,115,방향제,17,많은,159,반,31,자세한,172,호평,46,감사합니다,178,기구,30,먹고,209,워크,76,빼고,3,점,1,이뻐,358,바이,23,하면,288,나,53,빈야사,337,점,44,빈야사,105,핏,28,해서,285,웰,27,들으며
27,시리즈,7,먹고,135,해동검도,27,단련,193,몸,45,메디,374,다이어트,66,부산해운,131,캠핑,21,먹,251,영어,42,해서,182,교정,45,하다,306,매탄,58,살빼기,213,파티,24,해서,141,유아,39,예쁜,292,스트레칭,46,좋은,239,다이어트,38,즐겁게,546,핫요가,70,들,327,필라,42,어떤,283,번,50,챌,231,헬스,25,하는거야,180,연습,48,되며,193,빈,40,하며,221,팔,35,보세요,226,다이어트,30,즐거운,156,양양,24,많은,262,플라잉,55,의한,254,레저,55,하지,95,써니,25,미단,163,중,39,건강한,231,가요,47,해서,322,주례,33,먹고,40,리더스,4,넘,17,마곡,3,나왔어요,122,체험,20,다르던데,181,필라테스,30,잼있는,13,생활,3,부족했나,153,나,33,해서,100,실장,9,즐기는,268,샵,68,한다,262,청담,41,받으세요,355,아트,60,특별한,221,모집,68,신나게,137,헬스,37,뛰고,204,짐,22,하겠습니다,111,짐,20,많은,100,팀,22,와,221,피티,33,얼라인,282,테라,33,감사합니다,115,아사도,29,새로운,178,개월,37,가,218,필라테스,33,감사합니다,267,카이트,35,써,2,제주,1,즐기세요,112,마스크,15,함께하세요,157,점,30,해서,165,호평동,43,믿고,176,김포,30,보내셨나요,193,시퀀스,76,되는지,3,눈,1,버렸,355,넉,20,열릴,210,아사,51,한다,254,교정,43,많은,102,기구,25,먹,280,레,26,신나는
27,기구,6,드리겠습니다,130,아들,25,해서,153,중,40,않도록,345,토닉,64,들,125,나,20,참,235,댄스스포츠,36,많은,162,몸,40,메디,305,관장,57,신난다,209,에버,24,많은,140,중,37,해주세요,254,방문,45,보세요,237,팝,35,셀기,485,핫,64,보세요,316,추가,41,보세요,259,핏,46,좋은,230,짐,25,놓치지,157,텐,48,있,191,플로우,37,다양한,218,철,33,한다,203,영어,27,댄,153,바다,22,새로운,257,재활,53,좋아요,252,패션,46,싸,94,윤아,24,많은,146,나,38,가,228,헬스,41,좋아요,322,노원,27,빌,39,트레드밀,4,보소,16,법,3,한,119,등산,19,들,180,힙합,30,쎄오,13,에이리얼,3,봐,150,플라잉,31,해주세요,100,미소,9,하러,265,워크,66,하지,225,창업,35,해보세요,352,복,58,지겹고,216,제주,65,많은,128,마스크,35,오르기,191,체육관,19,짓수,101,점,19,다양한,96,박스,22,잇,194,반려,30,되는,257,줌,29,먹고,114,나,27,쓰,177,엄마,33,들에게,155,서산,32,많은,261,센터,31,살자,2,아쿠,1,만들어주셔서,111,유도,14,들,137,웨어,26,타는,159,스튜디오,41,아쉬,156,스튜디오,28,하면,188,서커스,75,익숙하다,3,인바디,1,먹고,355,아웃,20,특별한,197,오창,49,하며,223,개,36,되는,101,점,24,먹고,202,서울숲,26,넘나
25,트레이닝,6,감사합니다,124,관장,25,베기,140,센터,39,들의,339,트레이닝,47,하면,112,것,20,들,229,파티,35,받으세요,160,중,38,감사합니다,302,점,49,재밌고,202,영어,23,넘,136,다이어트,28,참,223,팔,42,건강하고,234,줌,35,해주세요,477,발레,63,알려,314,용산,41,빈야사,253,헬스,46,하다,204,팔,24,해서하는게,154,자세,47,뽑겠습니다,190,개인,34,나를,188,러닝,32,많은,196,파티,26,해서,152,서퍼,22,크서,222,자세,45,해주세요,245,원스,42,가,93,티파니,24,하느냐,146,폴,36,마세요,213,플라잉,40,산단,316,아쿠아,25,넘,39,아쿠,4,되는,15,점프,3,맞춰,107,문제,19,크,177,전주,29,해서,10,저장,3,않아,132,수련,29,많은,96,플러스,8,신나게,238,개인,62,하게,216,스튜디오,34,느끼고,351,예술,58,괴롭고,196,점,63,몰,110,미세먼지,31,가볍게,182,팔,19,많은,81,팔,18,해서,92,트레이닝,21,다양한,179,근육,30,좋,250,필라테스,28,해서,112,것,27,미치다,169,딸,33,뛰고,134,헬스,32,멋진,246,패,31,먹,2,아패,1,유익한,110,석고,14,받으세요,133,필라테스,25,해야,157,향수,39,입니,153,연휴,28,미,176,토요일,63,죽전,3,팔,1,시키면서,311,핏,19,하자,191,헬스,49,한,202,명,36,대,98,장,19,해주세요,195,힙합,24,좋은
21,홈,6,따라,124,다이어트,20,하겠습니다,135,이벤트,38,하면,293,플라잉,46,메디,107,트레,19,많은,212,활동,35,잘추는,151,핏,37,예쁜,284,와코,45,특별히,180,텐션,23,즐거운,133,반,27,바른,214,입시,40,하면,227,복,34,좋은,466,국제,62,새로운,311,국제,39,꿀까,226,기구,40,좋아요,187,팀,24,잼있으니까,151,투,47,드립니다리,188,다이어트,33,건강한,180,다이어트,32,하며,171,텐션,26,미치리,145,트립,21,걷는,217,몸,45,정확한,226,옷,37,즐거운,93,효연,23,미,137,보험,35,챌,212,교정,39,한다,249,팔,24,했는데,37,라이더,4,즐겨,14,중,3,빠져,96,짐,18,한,171,부부,29,집전주,8,맘속,2,나도,117,거,28,하면,94,카카오,8,된서,226,내,56,나를,183,아치,31,되는,346,스토어,58,특별하게,192,만,63,싸,106,나,30,하면,176,벨트,18,입고,78,봉선동,17,하면,91,업,20,감사합니다,176,몸,28,많은,244,양재,27,좋아요,109,레슨,27,좋아요,168,아이,32,가득하시길,133,제천,29,신나는,215,다이빙,31,좋은,2,천,1,신나는,103,인생,14,멋진,117,팔,23,했는데,155,나,38,듣는,153,팔,28,하러,173,것,62,좋은,3,중,1,푸,310,바,19,뛰다,185,가요,46,따,199,제주,36,건강한,91,중,19,만들어,194,바,24,함께한
